# Timeout: 10
# Number of formulas: 1000
Formula; sat; time
eq480.txt.smt2; sat           ; 0.05
eq481.txt.smt2; sat           ; 0.04
eq482.txt.smt2; sat           ; 0.06
eq483.txt.smt2; sat           ; 0.14
eq484.txt.smt2; sat           ; 0.06
eq485.txt.smt2; sat           ; 0.05
eq486.txt.smt2; sat           ; 0.05
eq487.txt.smt2; sat           ; 0.09
eq488.txt.smt2; sat           ; 0.07
eq489.txt.smt2; sat           ; 0.07
eq49.txt.smt2; sat            ; 0.14
eq490.txt.smt2; sat           ; 0.1
eq491.txt.smt2; sat           ; 0.08
eq492.txt.smt2; sat           ; 0.09
eq493.txt.smt2; sat           ; 0.06
eq494.txt.smt2; sat           ; 0.05
eq495.txt.smt2; sat           ; 0.02
eq496.txt.smt2; sat           ; 0.04
eq497.txt.smt2; sat           ; 0.07
eq498.txt.smt2; sat           ; 0.1
eq499.txt.smt2; sat           ; 0.07
eq5.txt.smt2; sat             ; 0.07
eq50.txt.smt2; sat            ; 0.06
eq500.txt.smt2; sat           ; 0.04
eq501.txt.smt2; sat           ; 0.06
eq502.txt.smt2; sat           ; 0.07
eq503.txt.smt2; sat           ; 0.03
eq504.txt.smt2; sat           ; 0.07
eq505.txt.smt2; sat           ; 0.09
eq506.txt.smt2; sat           ; 0.05
eq507.txt.smt2; sat           ; 0.03
eq508.txt.smt2; sat           ; 0.1
eq509.txt.smt2; sat           ; 0.08
eq51.txt.smt2; sat            ; 0.08
eq510.txt.smt2; sat           ; 0.08
eq511.txt.smt2; sat           ; 0.08
eq512.txt.smt2; sat           ; 0.07
eq513.txt.smt2; sat           ; 0.14
eq514.txt.smt2; sat           ; 0.13
eq515.txt.smt2; sat           ; 0.03
eq516.txt.smt2; sat           ; 0.04
eq517.txt.smt2; sat           ; 0.08
eq518.txt.smt2; sat           ; 0.05
eq519.txt.smt2; sat           ; 0.07
eq52.txt.smt2; sat            ; 0.05
eq520.txt.smt2; sat           ; 0.05
eq521.txt.smt2; sat           ; 0.34
eq522.txt.smt2; sat           ; 0.07
eq523.txt.smt2; sat           ; 0.08
eq524.txt.smt2; sat           ; 0.03
eq525.txt.smt2; sat           ; 0.1
eq526.txt.smt2; sat           ; 0.04
eq527.txt.smt2; sat           ; 0.03
eq528.txt.smt2; sat           ; 0.02
eq529.txt.smt2; sat           ; 0.17
eq53.txt.smt2; sat            ; 0.07
eq530.txt.smt2; sat           ; 0.05
eq531.txt.smt2; sat           ; 0.02
eq532.txt.smt2; sat           ; 0.08
eq533.txt.smt2; sat           ; 0.03
eq534.txt.smt2; sat           ; 0.07
eq535.txt.smt2; sat           ; 0.06
eq536.txt.smt2; sat           ; 0.02
eq537.txt.smt2; sat           ; 0.08
eq538.txt.smt2; sat           ; 0.04
eq539.txt.smt2; sat           ; 0.04
eq54.txt.smt2; unsat          ; 0.02
eq540.txt.smt2; sat           ; 0.14
eq541.txt.smt2; sat           ; 0.1
eq542.txt.smt2; sat           ; 0.05
eq543.txt.smt2; sat           ; 0.07
eq544.txt.smt2; sat           ; 0.05
