#Timeout: 10
#Number of formulas: 1000
Formula; sat; time
eq358.txt.smt2; sat                        ;	 0.05
eq359.txt.smt2; sat                        ;	 0.18
eq36.txt.smt2; TO                          ;	 TO
eq360.txt.smt2; sat                        ;	 0.1
eq361.txt.smt2; sat                        ;	 0.09
eq362.txt.smt2; sat                        ;	 1.2
eq363.txt.smt2; sat                        ;	 0.09
eq364.txt.smt2; TO                         ;	 TO
eq365.txt.smt2; sat                        ;	 0.17
eq366.txt.smt2; sat                        ;	 4.12
eq367.txt.smt2; sat                        ;	 0.18
eq368.txt.smt2; sat                        ;	 0.77
eq369.txt.smt2; sat                        ;	 0.6
eq37.txt.smt2; sat                         ;	 0.09
eq370.txt.smt2; TO                         ;	 TO
eq371.txt.smt2; sat                        ;	 0.42
eq372.txt.smt2; sat                        ;	 0.89
eq373.txt.smt2; sat                        ;	 0.21
eq374.txt.smt2; sat                        ;	 0.09
eq375.txt.smt2; sat                        ;	 1.81
eq376.txt.smt2; sat                        ;	 0.04
eq377.txt.smt2; sat                        ;	 0.05
eq378.txt.smt2; TO                         ;	 TO
eq379.txt.smt2; sat                        ;	 0.04
eq38.txt.smt2; sat                         ;	 0.12
eq380.txt.smt2; TO                         ;	 TO
eq381.txt.smt2; sat                        ;	 0.89
eq382.txt.smt2; TO                         ;	 TO
eq383.txt.smt2; TO                         ;	 TO
eq384.txt.smt2; TO                         ;	 TO
eq385.txt.smt2; sat                        ;	 5.92
eq386.txt.smt2; sat                        ;	 0.12
eq387.txt.smt2; TO                         ;	 TO
eq388.txt.smt2; sat                        ;	 1.3
eq389.txt.smt2; sat                        ;	 0.09
eq39.txt.smt2; sat                         ;	 0.81
eq390.txt.smt2; sat                        ;	 0.04
eq391.txt.smt2; sat                        ;	 0.42
eq392.txt.smt2; sat                        ;	 0.05
eq393.txt.smt2; sat                        ;	 0.04
eq394.txt.smt2; sat                        ;	 0.09
eq395.txt.smt2; sat                        ;	 1.24
eq396.txt.smt2; sat                        ;	 0.11
eq397.txt.smt2; sat                        ;	 5.81
eq398.txt.smt2; TO                         ;	 TO
eq399.txt.smt2; sat                        ;	 0.14
eq4.txt.smt2; sat                          ;	 0.03
eq40.txt.smt2; sat                         ;	 0.2
eq400.txt.smt2; sat                        ;	 0.13
eq401.txt.smt2; TO                         ;	 TO
eq402.txt.smt2; sat                        ;	 0.07
eq403.txt.smt2; sat                        ;	 0.04
eq404.txt.smt2; TO                         ;	 TO
eq405.txt.smt2; TO                         ;	 TO
eq406.txt.smt2; sat                        ;	 0.09
eq407.txt.smt2; sat                        ;	 0.05
eq408.txt.smt2; sat                        ;	 0.22
eq409.txt.smt2; TO                         ;	 TO
eq41.txt.smt2; sat                         ;	 0.77
eq410.txt.smt2; sat                        ;	 0.11
eq411.txt.smt2; sat                        ;	 0.26
eq412.txt.smt2; TO                         ;	 TO
eq413.txt.smt2; TO                         ;	 TO
eq414.txt.smt2; TO                         ;	 TO
eq415.txt.smt2; sat                        ;	 0.09
eq416.txt.smt2; TO                         ;	 TO
eq417.txt.smt2; TO                         ;	 TO
eq418.txt.smt2; sat                        ;	 1.07
eq419.txt.smt2; sat                        ;	 0.02
eq42.txt.smt2; sat                         ;	 0.03
eq420.txt.smt2; sat                        ;	 0.02
eq421.txt.smt2; sat                        ;	 0.05
eq422.txt.smt2; TO                         ;	 TO
eq423.txt.smt2; sat                        ;	 5.2
eq424.txt.smt2; sat                        ;	 0.27
eq425.txt.smt2; sat                        ;	 0.04
eq426.txt.smt2; sat                        ;	 0.6
eq427.txt.smt2; sat                        ;	 0.09
eq428.txt.smt2; sat                        ;	 0.08
eq429.txt.smt2; TO                         ;	 TO
eq43.txt.smt2; sat                         ;	 0.17
eq430.txt.smt2; sat                        ;	 0.1
eq431.txt.smt2; TO                         ;	 TO
eq432.txt.smt2; sat                        ;	 0.16
eq433.txt.smt2; sat                        ;	 0.18
eq434.txt.smt2; TO                         ;	 TO
eq435.txt.smt2; sat                        ;	 0.23
eq436.txt.smt2; sat                        ;	 0.85
eq437.txt.smt2; sat                        ;	 1.63
eq438.txt.smt2; sat                        ;	 7.34
eq439.txt.smt2; sat                        ;	 1.37
eq44.txt.smt2; sat                         ;	 0.14
eq440.txt.smt2; sat                        ;	 0.39
eq441.txt.smt2; sat                        ;	 0.88
eq442.txt.smt2; sat                        ;	 0.14
eq443.txt.smt2; sat                        ;	 0.05
eq444.txt.smt2; sat                        ;	 0.77
eq445.txt.smt2; TO                         ;	 TO
eq446.txt.smt2; TO                         ;	 TO
eq447.txt.smt2; TO                         ;	 TO
eq448.txt.smt2; sat                        ;	 0.09
eq449.txt.smt2; TO                         ;	 TO
eq45.txt.smt2; TO                          ;	 TO
eq450.txt.smt2; TO                         ;	 TO
eq451.txt.smt2; sat                        ;	 0.1
eq452.txt.smt2; sat                        ;	 1.64
eq453.txt.smt2; sat                        ;	 0.26
eq454.txt.smt2; sat                        ;	 0.58
eq455.txt.smt2; TO                         ;	 TO
eq456.txt.smt2; sat                        ;	 0.88
eq457.txt.smt2; sat                        ;	 0.2
eq458.txt.smt2; TO                         ;	 TO
eq459.txt.smt2; TO                         ;	 TO
eq46.txt.smt2; sat                         ;	 0.1
eq460.txt.smt2; sat                        ;	 0.11
eq461.txt.smt2; TO                         ;	 TO
eq462.txt.smt2; TO                         ;	 TO
eq463.txt.smt2; sat                        ;	 0.05
eq464.txt.smt2; sat                        ;	 0.81
eq465.txt.smt2; sat                        ;	 0.09
eq466.txt.smt2; sat                        ;	 0.08
eq467.txt.smt2; TO                         ;	 TO
eq468.txt.smt2; TO                         ;	 TO
eq469.txt.smt2; TO                         ;	 TO
eq47.txt.smt2; TO                          ;	 TO
eq470.txt.smt2; sat                        ;	 0.04
eq471.txt.smt2; TO                         ;	 TO
eq472.txt.smt2; sat                        ;	 1.34
eq473.txt.smt2; sat                        ;	 1.38
eq474.txt.smt2; sat                        ;	 0.12
eq475.txt.smt2; TO                         ;	 TO
eq476.txt.smt2; sat                        ;	 0.07
eq477.txt.smt2; TO                         ;	 TO
eq478.txt.smt2; sat                        ;	 0.1
eq479.txt.smt2; sat                        ;	 0.13
eq48.txt.smt2; TO                          ;	 TO
eq480.txt.smt2; TO                         ;	 TO
eq481.txt.smt2; sat                        ;	 0.36
eq482.txt.smt2; TO                         ;	 TO
eq483.txt.smt2; TO                         ;	 TO
eq484.txt.smt2; sat                        ;	 0.8
eq485.txt.smt2; sat                        ;	 0.15
eq486.txt.smt2; sat                        ;	 0.08
eq487.txt.smt2; sat                        ;	 0.6
eq488.txt.smt2; sat                        ;	 5.6
eq489.txt.smt2; sat                        ;	 0.06
eq49.txt.smt2; TO                          ;	 TO
eq490.txt.smt2; sat                        ;	 5.52
eq491.txt.smt2; TO                         ;	 TO
eq492.txt.smt2; TO                         ;	 TO
eq493.txt.smt2; TO                         ;	 TO
eq494.txt.smt2; sat                        ;	 0.37
eq495.txt.smt2; sat                        ;	 0.04
eq496.txt.smt2; sat                        ;	 0.33
eq497.txt.smt2; TO                         ;	 TO
eq498.txt.smt2; sat                        ;	 0.13
eq499.txt.smt2; TO                         ;	 TO
eq5.txt.smt2; TO                           ;	 TO
eq50.txt.smt2; sat                         ;	 0.08
eq500.txt.smt2; TO                         ;	 TO
eq501.txt.smt2; sat                        ;	 0.16
eq502.txt.smt2; TO                         ;	 TO
eq503.txt.smt2; sat                        ;	 0.04
eq504.txt.smt2; TO                         ;	 TO
eq505.txt.smt2; sat                        ;	 0.08
eq506.txt.smt2; sat                        ;	 0.09
eq507.txt.smt2; sat                        ;	 9.47
eq508.txt.smt2; sat                        ;	 0.15
eq509.txt.smt2; sat                        ;	 0.13
eq51.txt.smt2; TO                          ;	 TO
eq510.txt.smt2; sat                        ;	 0.37
eq511.txt.smt2; TO                         ;	 TO
eq512.txt.smt2; sat                        ;	 5.86
eq513.txt.smt2; sat                        ;	 0.08
eq514.txt.smt2; sat                        ;	 0.27
eq515.txt.smt2; sat                        ;	 0.04
eq516.txt.smt2; sat                        ;	 0.29
eq517.txt.smt2; sat                        ;	 0.79
eq518.txt.smt2; sat                        ;	 0.18
eq519.txt.smt2; TO                         ;	 TO
eq52.txt.smt2; TO                          ;	 TO
eq520.txt.smt2; sat                        ;	 3.61
eq521.txt.smt2; TO                         ;	 TO
eq522.txt.smt2; sat                        ;	 0.89
eq523.txt.smt2; sat                        ;	 0.16
eq524.txt.smt2; sat                        ;	 0.04
eq525.txt.smt2; TO                         ;	 TO
eq526.txt.smt2; sat                        ;	 0.53
eq527.txt.smt2; sat                        ;	 0.31
eq528.txt.smt2; sat                        ;	 0.08
eq529.txt.smt2; TO                         ;	 TO
eq53.txt.smt2; TO                          ;	 TO
eq530.txt.smt2; sat                        ;	 0.2
eq531.txt.smt2; sat                        ;	 0.06
eq532.txt.smt2; TO                         ;	 TO
eq533.txt.smt2; sat                        ;	 0.05
eq534.txt.smt2; sat                        ;	 0.1
eq535.txt.smt2; sat                        ;	 4.49
eq536.txt.smt2; sat                        ;	 0.07
eq537.txt.smt2; sat                        ;	 0.12
eq538.txt.smt2; sat                        ;	 0.09
eq539.txt.smt2; sat                        ;	 0.04
eq54.txt.smt2; unsat                       ;	 0.04
eq540.txt.smt2; sat                        ;	 0.88
eq541.txt.smt2; sat                        ;	 1.32
eq542.txt.smt2; sat                        ;	 0.03
eq543.txt.smt2; sat                        ;	 1.25
eq544.txt.smt2; TO                         ;	 TO
eq545.txt.smt2; sat                        ;	 0.1
eq546.txt.smt2; TO                         ;	 TO
eq547.txt.smt2; sat                        ;	 0.29
eq548.txt.smt2; sat                        ;	 0.09
eq549.txt.smt2; TO                         ;	 TO
eq55.txt.smt2; sat                         ;	 0.37
eq550.txt.smt2; sat                        ;	 1.06
eq551.txt.smt2; sat                        ;	 0.48
eq552.txt.smt2; TO                         ;	 TO
eq553.txt.smt2; sat                        ;	 0.04
eq554.txt.smt2; sat                        ;	 0.03
eq555.txt.smt2; TO                         ;	 TO
eq556.txt.smt2; TO                         ;	 TO
eq557.txt.smt2; sat                        ;	 0.05
eq558.txt.smt2; sat                        ;	 0.19
eq559.txt.smt2; sat                        ;	 0.14
eq56.txt.smt2; sat                         ;	 0.11
eq560.txt.smt2; sat                        ;	 0.06
eq561.txt.smt2; sat                        ;	 0.97
eq562.txt.smt2; TO                         ;	 TO
eq563.txt.smt2; sat                        ;	 3.83
eq564.txt.smt2; TO                         ;	 TO
eq565.txt.smt2; sat                        ;	 0.05
eq566.txt.smt2; sat                        ;	 4.98
eq567.txt.smt2; sat                        ;	 0.24
eq568.txt.smt2; sat                        ;	 0.06
eq569.txt.smt2; sat                        ;	 0.11
eq57.txt.smt2; sat                         ;	 0.62
eq570.txt.smt2; sat                        ;	 0.18
eq571.txt.smt2; sat                        ;	 0.03
eq572.txt.smt2; sat                        ;	 0.09
eq573.txt.smt2; sat                        ;	 0.55
eq574.txt.smt2; sat                        ;	 0.09
eq575.txt.smt2; TO                         ;	 TO
eq576.txt.smt2; sat                        ;	 0.74
eq577.txt.smt2; sat                        ;	 0.73
eq578.txt.smt2; sat                        ;	 0.49
eq579.txt.smt2; sat                        ;	 1.18
eq58.txt.smt2; TO                          ;	 TO
eq580.txt.smt2; sat                        ;	 2.04
eq581.txt.smt2; sat                        ;	 0.09
eq582.txt.smt2; TO                         ;	 TO
eq583.txt.smt2; TO                         ;	 TO
eq584.txt.smt2; sat                        ;	 2.91
eq585.txt.smt2; sat                        ;	 0.12
eq586.txt.smt2; sat                        ;	 0.1
eq587.txt.smt2; sat                        ;	 0.18
eq588.txt.smt2; sat                        ;	 0.09
eq589.txt.smt2; sat                        ;	 0.1
eq59.txt.smt2; sat                         ;	 0.06
eq590.txt.smt2; TO                         ;	 TO
eq591.txt.smt2; TO                         ;	 TO
eq592.txt.smt2; sat                        ;	 0.12
eq593.txt.smt2; TO                         ;	 TO
eq594.txt.smt2; TO                         ;	 TO
eq595.txt.smt2; sat                        ;	 0.09
