# Timeout: 10
# Number of formulas: 1000
Formula; sat; time; check
eq511.txt.smt2; TO            ; TO   ; TO
eq512.txt.smt2; TO            ; TO   ; TO
eq513.txt.smt2; TO            ; TO   ; TO
eq514.txt.smt2; TO            ; TO   ; TO
eq515.txt.smt2; TO            ; TO   ; TO
eq516.txt.smt2; TO            ; TO   ; TO
eq517.txt.smt2; TO            ; TO   ; TO
eq518.txt.smt2; TO            ; TO   ; TO
eq519.txt.smt2; TO            ; TO   ; TO
eq52.txt.smt2; TO             ; TO   ; TO
eq520.txt.smt2; TO            ; TO   ; TO
eq521.txt.smt2; TO            ; TO   ; TO
eq522.txt.smt2; TO            ; TO   ; TO
eq523.txt.smt2; TO            ; TO   ; TO
eq524.txt.smt2; TO            ; TO   ; TO
eq525.txt.smt2; TO            ; TO   ; TO
eq526.txt.smt2; TO            ; TO   ; TO
eq527.txt.smt2; TO            ; TO   ; TO
eq528.txt.smt2; Sat           ; 2.61 ; True
eq529.txt.smt2; TO            ; TO   ; TO
eq53.txt.smt2; TO             ; TO   ; TO
eq530.txt.smt2; TO            ; TO   ; TO
eq531.txt.smt2; Sat           ; 2.24 ; True
eq532.txt.smt2; TO            ; TO   ; TO
eq533.txt.smt2; Sat           ; 2.48 ; True
eq534.txt.smt2; TO            ; TO   ; TO
eq535.txt.smt2; TO            ; TO   ; TO
eq536.txt.smt2; Sat           ; 2.66 ; True
eq537.txt.smt2; TO            ; TO   ; TO
eq538.txt.smt2; Sat           ; 2.68 ; True
eq539.txt.smt2; Sat           ; 2.61 ; True
eq54.txt.smt2; TO             ; TO   ; TO
eq540.txt.smt2; TO            ; TO   ; TO
eq541.txt.smt2; TO            ; TO   ; TO
eq542.txt.smt2; TO            ; TO   ; TO
eq543.txt.smt2; TO            ; TO   ; TO
eq544.txt.smt2; TO            ; TO   ; TO
eq545.txt.smt2; TO            ; TO   ; TO
eq546.txt.smt2; TO            ; TO   ; TO
eq547.txt.smt2; TO            ; TO   ; TO
eq548.txt.smt2; TO            ; TO   ; TO
eq549.txt.smt2; TO            ; TO   ; TO
eq55.txt.smt2; TO             ; TO   ; TO
eq550.txt.smt2; TO            ; TO   ; TO
eq551.txt.smt2; TO            ; TO   ; TO
eq552.txt.smt2; TO            ; TO   ; TO
eq553.txt.smt2; Sat           ; 2.25 ; True
eq554.txt.smt2; Sat           ; 2.62 ; True
eq555.txt.smt2; TO            ; TO   ; TO
eq556.txt.smt2; TO            ; TO   ; TO
eq557.txt.smt2; Sat           ; 2.71 ; True
