#Timeout: 10
#Number of formulas: 1000
Formula;  sat; time; check
eq-hard.txt.smt2; sat         	;0.6 ;	 True
eq568.txt.smt2; sat           	;0.34;	 True
eq569.txt.smt2; sat           	;3.26;	 True
eq57.txt.smt2; sat            	;8.55;	 True
eq570.txt.smt2; TO            	;TO  ;	 TO
eq571.txt.smt2; sat           	;0.4 ;	 True
eq572.txt.smt2; sat           	;0.39;	 True
eq573.txt.smt2; sat           	;8.83;	 True
eq574.txt.smt2; sat           	;0.4 ;	 True
eq575.txt.smt2; TO            	;TO  ;	 TO
eq576.txt.smt2; sat           	;5.08;	 True
eq577.txt.smt2; sat           	;5.35;	 True
eq578.txt.smt2; TO            	;TO  ;	 TO
eq579.txt.smt2; TO            	;TO  ;	 TO
eq58.txt.smt2; TO             	;TO  ;	 TO
