Timeout: 150
Number of formulas: 1000
Formula: time, sat
eq638.txt: TO	 TO
eq639.txt: TO	 TO
eq64.txt: TO	 TO
eq640.txt: Sat	 2.36
eq641.txt: TO	 TO
eq642.txt: Sat	 2.36
eq643.txt: TO	 TO
eq644.txt: TO	 TO
eq645.txt: TO	 TO
eq646.txt: Sat	 118.91
eq647.txt: TO	 TO
eq648.txt: TO	 TO
eq649.txt: Sat	 120.03
eq65.txt: Sat	 109.17
eq650.txt: Sat	 2.45
eq651.txt: TO	 TO
eq652.txt: TO	 TO
eq653.txt: TO	 TO
eq654.txt: Sat	 2.41
eq655.txt: TO	 TO
eq656.txt: TO	 TO
eq657.txt: TO	 TO
eq658.txt: TO	 TO
eq659.txt: TO	 TO
eq66.txt: TO	 TO
eq660.txt: Sat	 81.37
eq661.txt: Sat	 2.41
eq662.txt: TO	 TO
eq663.txt: Sat	 114.53
eq664.txt: TO	 TO
eq665.txt: Sat	 117.81
eq666.txt: TO	 TO
eq667.txt: TO	 TO
eq668.txt: Sat	 119.38
eq669.txt: Sat	 117.14
eq67.txt: TO	 TO
eq670.txt: TO	 TO
eq671.txt: Sat	 2.43
eq672.txt: TO	 TO
eq673.txt: Sat	 112.85
eq674.txt: Sat	 2.38
eq675.txt: Sat	 118.77
eq676.txt: Sat	 110.05
eq677.txt: TO	 TO
eq678.txt: TO	 TO
eq679.txt: Sat	 120.06
eq68.txt: TO	 TO
eq680.txt: TO	 TO
eq681.txt: TO	 TO
eq682.txt: TO	 TO
eq683.txt: TO	 TO
eq684.txt: Sat	 119.27
eq685.txt: Sat	 2.18
eq686.txt: Sat	 2.48
eq687.txt: Sat	 115.58
eq688.txt: TO	 TO
eq689.txt: TO	 TO
eq69.txt: TO	 TO
eq690.txt: Sat	 120.54
eq691.txt: Sat	 1.96
eq692.txt: Sat	 118.67
eq693.txt: TO	 TO
eq694.txt: TO	 TO
eq695.txt: TO	 TO
eq696.txt: TO	 TO
eq697.txt: Sat	 119.16
eq698.txt: Sat	 2.38
eq699.txt: TO	 TO
eq7.txt: Sat	 2.37
eq70.txt: Sat	 118.78
eq700.txt: TO	 TO
eq701.txt: TO	 TO
eq702.txt: TO	 TO
eq703.txt: TO	 TO
eq704.txt: TO	 TO
eq705.txt: TO	 TO
eq706.txt: TO	 TO
eq707.txt: TO	 TO
eq708.txt: Sat	 2.42
eq709.txt: TO	 TO
eq71.txt: Sat	 2.31
eq710.txt: TO	 TO
eq711.txt: TO	 TO
eq712.txt: TO	 TO
eq713.txt: Sat	 1.92
eq714.txt: Sat	 2.26
eq715.txt: TO	 TO
eq716.txt: TO	 TO
eq717.txt: Sat	 2.44
eq718.txt: TO	 TO
eq719.txt: TO	 TO
eq72.txt: TO	 TO
eq720.txt: Sat	 115.23
eq721.txt: TO	 TO
eq722.txt: TO	 TO
eq723.txt: TO	 TO
eq724.txt: Sat	 115.7
eq725.txt: TO	 TO
eq726.txt: TO	 TO
eq727.txt: TO	 TO
eq728.txt: TO	 TO
eq729.txt: Sat	 115.57
eq73.txt: TO	 TO
eq730.txt: Sat	 115.73
eq731.txt: TO	 TO
eq732.txt: TO	 TO
eq733.txt: Sat	 2.41
eq734.txt: TO	 TO
eq735.txt: Sat	 115.07
eq736.txt: Sat	 95.63
eq737.txt: TO	 TO
eq738.txt: Sat	 118.37
eq739.txt: TO	 TO
eq74.txt: TO	 TO
eq740.txt: TO	 TO
eq741.txt: TO	 TO
eq742.txt: TO	 TO
eq743.txt: Sat	 92.21
eq744.txt: TO	 TO
eq745.txt: TO	 TO
eq746.txt: Sat	 1.96
eq747.txt: TO	 TO
eq748.txt: TO	 TO
eq749.txt: TO	 TO
eq75.txt: Sat	 92.5
eq750.txt: TO	 TO
eq751.txt: TO	 TO
eq752.txt: Sat	 1.97
eq753.txt: TO	 TO
eq754.txt: TO	 TO
eq755.txt: Sat	 115.11
eq756.txt: Sat	 118.65
eq757.txt: Sat	 111.67
eq758.txt: TO	 TO
eq759.txt: TO	 TO
eq76.txt: TO	 TO
eq760.txt: Sat	 115.88
eq761.txt: TO	 TO
eq762.txt: Sat	 81.6
eq763.txt: TO	 TO
eq764.txt: TO	 TO
eq765.txt: Sat	 99.16
eq766.txt: TO	 TO
eq767.txt: TO	 TO
eq768.txt: Sat	 115.1
eq769.txt: TO	 TO
eq77.txt: Sat	 114.7
eq770.txt: Sat	 2.28
eq771.txt: TO	 TO
eq772.txt: TO	 TO
eq773.txt: TO	 TO
eq774.txt: TO	 TO
eq775.txt: Sat	 116.1
eq776.txt: TO	 TO
eq777.txt: Sat	 1.92
eq778.txt: Sat	 2.45
eq779.txt: TO	 TO
eq78.txt: Sat	 2.46
eq780.txt: TO	 TO
eq781.txt: Sat	 115.4
eq782.txt: TO	 TO
eq783.txt: Sat	 114.46
eq784.txt: Sat	 2.25
eq785.txt: Sat	 119.16
eq786.txt: TO	 TO
eq787.txt: Sat	 113.71
eq788.txt: Sat	 2.39
eq789.txt: Sat	 2.25
eq79.txt: Sat	 99.67
eq790.txt: Sat	 115.96
eq791.txt: TO	 TO
eq792.txt: Sat	 2.42
eq793.txt: TO	 TO
eq794.txt: TO	 TO
eq795.txt: TO	 TO
eq796.txt: Sat	 80.58
eq797.txt: TO	 TO
eq798.txt: TO	 TO
eq799.txt: TO	 TO
eq8.txt: TO	 TO
eq80.txt: TO	 TO
eq800.txt: TO	 TO
eq801.txt: TO	 TO
eq802.txt: TO	 TO
eq803.txt: TO	 TO
eq804.txt: TO	 TO
eq805.txt: TO	 TO
eq806.txt: TO	 TO
eq807.txt: TO	 TO
eq808.txt: Sat	 1.97
eq809.txt: TO	 TO
eq81.txt: TO	 TO
eq810.txt: TO	 TO
eq811.txt: TO	 TO
eq812.txt: TO	 TO
eq813.txt: Sat	 117.34
eq814.txt: TO	 TO
eq815.txt: TO	 TO
eq816.txt: TO	 TO
eq817.txt: Sat	 115.57
eq818.txt: TO	 TO
eq819.txt: Sat	 115.74
eq82.txt: Sat	 2.26
eq820.txt: TO	 TO
eq821.txt: TO	 TO
eq822.txt: TO	 TO
eq823.txt: Sat	 95.88
eq824.txt: TO	 TO
eq825.txt: Sat	 113.68
eq826.txt: Sat	 2.4
eq827.txt: Sat	 1.98
eq828.txt: Sat	 2.29
eq829.txt: Sat	 96.3
eq83.txt: TO	 TO
eq830.txt: TO	 TO
eq831.txt: TO	 TO
eq832.txt: TO	 TO
eq833.txt: TO	 TO
eq834.txt: Sat	 2.32
eq835.txt: TO	 TO
eq836.txt: Sat	 119.37
eq837.txt: Sat	 116.25
eq838.txt: TO	 TO
eq839.txt: Sat	 115.78
eq84.txt: TO	 TO
eq840.txt: TO	 TO
eq841.txt: TO	 TO
eq842.txt: TO	 TO
eq843.txt: TO	 TO
eq844.txt: Sat	 2.33
eq845.txt: TO	 TO
eq846.txt: Sat	 115.31
eq847.txt: TO	 TO
eq848.txt: TO	 TO
eq849.txt: Sat	 112.87
eq85.txt: TO	 TO
eq850.txt: TO	 TO
eq851.txt: Sat	 115.0
eq852.txt: Sat	 2.48
eq853.txt: Sat	 118.76
eq854.txt: TO	 TO
eq855.txt: TO	 TO
eq856.txt: TO	 TO
eq857.txt: Sat	 2.43
eq858.txt: TO	 TO
eq859.txt: TO	 TO
eq86.txt: TO	 TO
eq860.txt: TO	 TO
