Timeout: 150
Number of formulas: 1000
Formula: time, sat
eq675.txt: Sat	 59.13
eq676.txt: Sat	 55.81
eq677.txt: TO	 TO
eq678.txt: TO	 TO
eq679.txt: Sat	 58.68
eq68.txt: TO	 TO
eq680.txt: TO	 TO
eq681.txt: TO	 TO
eq682.txt: TO	 TO
eq683.txt: TO	 TO
eq684.txt: Sat	 60.74
eq685.txt: Sat	 1.72
eq686.txt: Sat	 2.35
eq687.txt: Sat	 60.69
eq688.txt: TO	 TO
eq689.txt: TO	 TO
eq69.txt: TO	 TO
eq690.txt: Sat	 60.13
eq691.txt: Sat	 1.86
eq692.txt: Sat	 60.54
eq693.txt: TO	 TO
eq694.txt: TO	 TO
eq695.txt: TO	 TO
eq696.txt: TO	 TO
eq697.txt: Sat	 61.08
eq698.txt: Sat	 2.51
eq699.txt: TO	 TO
eq7.txt: Sat	 2.48
eq70.txt: Sat	 60.48
eq700.txt: TO	 TO
eq701.txt: TO	 TO
eq702.txt: TO	 TO
eq703.txt: TO	 TO
eq704.txt: TO	 TO
eq705.txt: TO	 TO
eq706.txt: TO	 TO
eq707.txt: TO	 TO
eq708.txt: Sat	 2.47
eq709.txt: TO	 TO
eq71.txt: Sat	 2.47
eq710.txt: TO	 TO
eq711.txt: TO	 TO
eq712.txt: TO	 TO
eq713.txt: Sat	 1.86
eq714.txt: Sat	 2.52
eq715.txt: TO	 TO
eq716.txt: TO	 TO
eq717.txt: Sat	 2.56
eq718.txt: TO	 TO
eq719.txt: TO	 TO
eq72.txt: TO	 TO
eq720.txt: Sat	 61.22
eq721.txt: TO	 TO
eq722.txt: TO	 TO
eq723.txt: TO	 TO
eq724.txt: Sat	 60.35
eq725.txt: TO	 TO
eq726.txt: TO	 TO
eq727.txt: TO	 TO
eq728.txt: TO	 TO
eq729.txt: Sat	 60.81
eq73.txt: TO	 TO
eq730.txt: Sat	 59.05
eq731.txt: TO	 TO
eq732.txt: TO	 TO
eq733.txt: Sat	 2.43
eq734.txt: TO	 TO
eq735.txt: Sat	 59.39
eq736.txt: Sat	 47.11
eq737.txt: TO	 TO
eq738.txt: Sat	 59.64
eq739.txt: TO	 TO
eq74.txt: TO	 TO
eq740.txt: TO	 TO
eq741.txt: TO	 TO
eq742.txt: TO	 TO
eq743.txt: Sat	 45.89
eq744.txt: TO	 TO
eq745.txt: TO	 TO
eq746.txt: Sat	 1.9
eq747.txt: TO	 TO
eq748.txt: TO	 TO
eq749.txt: TO	 TO
eq75.txt: Sat	 47.0
eq750.txt: TO	 TO
eq751.txt: TO	 TO
eq752.txt: Sat	 1.77
eq753.txt: TO	 TO
eq754.txt: TO	 TO
eq755.txt: Sat	 58.92
eq756.txt: Sat	 60.7
eq757.txt: Sat	 54.48
eq758.txt: TO	 TO
eq759.txt: TO	 TO
eq76.txt: TO	 TO
eq760.txt: Sat	 60.39
eq761.txt: TO	 TO
eq762.txt: Sat	 39.9
eq763.txt: TO	 TO
eq764.txt: TO	 TO
eq765.txt: Sat	 59.32
eq766.txt: TO	 TO
eq767.txt: TO	 TO
eq768.txt: Sat	 60.49
eq769.txt: TO	 TO
eq77.txt: Sat	 58.82
eq770.txt: Sat	 2.53
eq771.txt: TO	 TO
eq772.txt: TO	 TO
eq773.txt: TO	 TO
eq774.txt: TO	 TO
eq775.txt: Sat	 59.33
eq776.txt: TO	 TO
eq777.txt: Sat	 1.87
eq778.txt: Sat	 2.53
eq779.txt: TO	 TO
eq78.txt: Sat	 2.51
eq780.txt: TO	 TO
eq781.txt: Sat	 59.36
eq782.txt: TO	 TO
eq783.txt: Sat	 60.73
eq784.txt: Sat	 2.47
eq785.txt: Sat	 60.54
eq786.txt: TO	 TO
eq787.txt: Sat	 55.01
eq788.txt: Sat	 2.5
eq789.txt: Sat	 2.49
eq79.txt: Sat	 58.69
eq790.txt: Sat	 58.92
eq791.txt: TO	 TO
eq792.txt: Sat	 2.43
eq793.txt: TO	 TO
eq794.txt: TO	 TO
eq795.txt: TO	 TO
eq796.txt: Sat	 40.44
eq797.txt: TO	 TO
eq798.txt: TO	 TO
eq799.txt: TO	 TO
eq8.txt: TO	 TO
eq80.txt: TO	 TO
eq800.txt: TO	 TO
eq801.txt: TO	 TO
eq802.txt: TO	 TO
eq803.txt: TO	 TO
eq804.txt: TO	 TO
eq805.txt: TO	 TO
eq806.txt: TO	 TO
eq807.txt: TO	 TO
eq808.txt: Sat	 1.8
eq809.txt: TO	 TO
eq81.txt: TO	 TO
eq810.txt: TO	 TO
eq811.txt: TO	 TO
eq812.txt: TO	 TO
eq813.txt: Sat	 58.79
eq814.txt: TO	 TO
eq815.txt: TO	 TO
eq816.txt: TO	 TO
eq817.txt: Sat	 60.6
eq818.txt: TO	 TO
eq819.txt: Sat	 58.88
eq82.txt: Sat	 2.55
eq820.txt: TO	 TO
eq821.txt: TO	 TO
eq822.txt: TO	 TO
eq823.txt: Sat	 45.87
eq824.txt: TO	 TO
eq825.txt: Sat	 55.74
eq826.txt: Sat	 2.72
eq827.txt: Sat	 1.88
eq828.txt: Sat	 2.42
eq829.txt: Sat	 58.16
eq83.txt: TO	 TO
eq830.txt: TO	 TO
eq831.txt: TO	 TO
