#Timeout: 10
#Number of formulas: 1000
Formula; sat; time
quad-length-094-4-1-unsat.smt2; TO   ;	 TO
quad-length-095-4-1-sat.smt2; TO     ;	 TO
quad-length-096-4-1-unsat.smt2; TO   ;	 TO
quad-length-097-4-1-sat.smt2; TO     ;	 TO
quad-length-098-4-1-unsat.smt2; TO   ;	 TO
quad-length-099-4-2-sat.smt2; TO     ;	 TO
quad-length-100-4-2-unsat.smt2; TO   ;	 TO
quad-length-101-4-2-sat.smt2; TO     ;	 TO
quad-length-102-4-2-unsat.smt2; TO   ;	 TO
quad-length-103-4-2-sat.smt2; TO     ;	 TO
quad-length-104-4-2-unsat.smt2; TO   ;	 TO
quad-length-105-4-2-sat.smt2; TO     ;	 TO
quad-length-106-4-2-unsat.smt2; TO   ;	 TO
quad-length-107-4-3-sat.smt2; TO     ;	 TO
quad-length-108-4-3-unsat.smt2; TO   ;	 TO
quad-length-109-4-3-sat.smt2; TO     ;	 TO
quad-length-110-4-3-unsat.smt2; TO   ;	 TO
quad-length-111-4-3-sat.smt2; TO     ;	 TO
quad-length-112-4-3-unsat.smt2; TO   ;	 TO
quad-length-113-4-3-sat.smt2; TO     ;	 TO
quad-length-114-4-3-unsat.smt2; TO   ;	 TO
quad-length-115-4-3-sat.smt2; TO     ;	 TO
quad-length-116-4-3-unsat.smt2; TO   ;	 TO
quad-length-117-4-4-sat.smt2; TO     ;	 TO
quad-length-118-4-4-unsat.smt2; TO   ;	 TO
quad-length-119-4-4-sat.smt2; TO     ;	 TO
quad-length-120-4-4-unsat.smt2; TO   ;	 TO
quad-length-121-4-0-sat.smt2; TO     ;	 TO
quad-length-122-4-0-unsat.smt2; unsat;	 0.04
quad-length-123-4-1-sat.smt2; TO     ;	 TO
quad-length-124-4-1-unsat.smt2; unsat;	 0.03
quad-length-125-4-1-sat.smt2; TO     ;	 TO
quad-length-126-4-1-unsat.smt2; unsat;	 0.02
quad-length-127-4-1-sat.smt2; TO     ;	 TO
quad-length-128-4-1-unsat.smt2; unsat;	 0.04
quad-length-129-4-1-sat.smt2; TO     ;	 TO
quad-length-130-4-1-unsat.smt2; unsat;	 0.04
quad-length-131-4-2-sat.smt2; TO     ;	 TO
quad-length-132-4-2-unsat.smt2; unsat;	 0.03
quad-length-133-4-2-sat.smt2; TO     ;	 TO
quad-length-134-4-2-unsat.smt2; unsat;	 0.02
quad-length-135-4-2-sat.smt2; TO     ;	 TO
quad-length-136-4-2-unsat.smt2; unsat;	 0.03
quad-length-137-4-2-sat.smt2; TO     ;	 TO
quad-length-138-4-2-unsat.smt2; unsat;	 0.03
quad-length-139-4-2-sat.smt2; TO     ;	 TO
quad-length-140-4-2-unsat.smt2; unsat;	 0.03
quad-length-141-4-3-sat.smt2; TO     ;	 TO
quad-length-142-4-3-unsat.smt2; unsat;	 0.03
quad-length-143-4-3-sat.smt2; TO     ;	 TO
quad-length-144-4-3-unsat.smt2; unsat;	 0.03
quad-length-145-4-3-sat.smt2; TO     ;	 TO
quad-length-146-4-3-unsat.smt2; TO   ;	 TO
quad-length-147-4-3-sat.smt2; TO     ;	 TO
quad-length-148-4-3-unsat.smt2; unsat;	 0.02
quad-length-149-4-3-sat.smt2; TO     ;	 TO
quad-length-150-4-3-unsat.smt2; unsat;	 0.02
quad-length-151-4-3-sat.smt2; TO     ;	 TO
quad-length-152-4-3-unsat.smt2; unsat;	 0.04
quad-length-153-4-4-sat.smt2; TO     ;	 TO
quad-length-154-4-4-unsat.smt2; unsat;	 0.03
quad-length-155-4-4-sat.smt2; TO     ;	 TO
quad-length-156-4-4-unsat.smt2; unsat;	 0.03
quad-length-157-4-4-sat.smt2; TO     ;	 TO
quad-length-158-4-4-unsat.smt2; unsat;	 0.03
quad-length-159-4-4-sat.smt2; TO     ;	 TO
quad-length-160-4-4-unsat.smt2; unsat;	 0.02
quad-length-161-4-0-sat.smt2; TO     ;	 TO
quad-length-162-4-0-unsat.smt2; unsat;	 0.03
quad-length-163-4-1-sat.smt2; TO     ;	 TO
quad-length-164-4-1-unsat.smt2; unsat;	 0.03
quad-length-165-4-1-sat.smt2; TO     ;	 TO
quad-length-166-4-1-unsat.smt2; unsat;	 0.03
quad-length-167-4-2-sat.smt2; TO     ;	 TO
quad-length-168-4-2-unsat.smt2; unsat;	 0.03
quad-length-169-4-2-sat.smt2; TO     ;	 TO
quad-length-170-4-2-unsat.smt2; unsat;	 0.03
quad-length-171-4-2-sat.smt2; TO     ;	 TO
quad-length-172-4-2-unsat.smt2; unsat;	 0.02
